Ride_ID,Date,Time,City,Driver_ID,Ride_Type,Distance_km,Duration_min,Fare_INR,Payment_Mode,Ride_Status,Rating
O10001,13-06-2026,03:01,Hyderabad,D1076,Prime,7.9,31,229.37,Wallet,Completed,4.1
O10002,09-01-2026,00:05,Bengaluru,D1054,Prime,15.9,9,405.49,UPI,Completed,4.4
O10003,25-04-2026,18:17,Jaipur,D1014,Prime,21.4,51,484.65,Cash,Completed,4.5
O10004,08-04-2026,03:22,Pune,D1049,Sedan,9,9,331.08,Cash,Completed,4.9
O10005,22-05-2026,09:53,Pune,D1011,Sedan,7,10,243.21,UPI,Completed,3.6
O10006,26-01-2026,12:17,Kolkata,D1083,Auto,6.1,19,95.67,Cash,Completed,4.9
O10007,05-06-2026,20:10,Bengaluru,D1088,Prime,14.7,25,413.87,Card,Completed,4.1
O10008,15-01-2026,07:52,Jaipur,D1092,Auto,12.9,12,163.77,Card,Cancelled,
O10009,24-02-2026,20:31,Chennai,D1075,Bike,5.6,10,72.06,Wallet,Completed,3.5
O10010,30-05-2026,12:23,Bengaluru,D1021,Prime,16,13,420.9,Wallet,Completed,3.3
O10011,02-06-2026,02:24,Chennai,D1088,Sedan,29.9,75,715.6,Cash,Completed,4.9
O10012,24-06-2026,17:48,Hyderabad,D1093,Auto,4.7,14,78.07,Card,Completed,4.4
O10013,09-05-2026,05:32,Delhi,D1070,Auto,25.5,72,317.63,Cash,Completed,4.5
O10014,03-06-2026,10:31,Jaipur,D1011,Mini,28,111,397.53,Cash,Completed,4.8
O10015,05-05-2026,02:48,Mumbai,D1028,Prime,20.3,78,456.96,UPI,Completed,4.2
O10016,21-03-2026,12:42,Pune,D1076,Bike,27.1,65,235.27,UPI,Completed,3.7
O10017,31-05-2026,07:00,Delhi,D1086,Mini,8,9,196.17,Wallet,Completed,3.5
O10018,24-02-2026,17:08,Kolkata,D1055,Prime,23.9,60,523.53,Wallet,Completed,3.9
O10019,30-04-2026,23:03,Delhi,D1069,Mini,13,29,252.04,Wallet,Completed,3.4
O10020,05-02-2026,13:11,Hyderabad,D1007,Bike,8.6,10,109.82,Cash,Completed,4.1
O10021,24-01-2026,07:10,Chennai,D1050,Bike,15.2,33,194.77,Card,Completed,3
O10022,27-04-2026,09:27,Kolkata,D1096,Prime,6.9,14,272.01,Card,Completed,4.1
O10023,15-01-2026,01:37,Kolkata,D1011,Sedan,27.7,75,665.02,UPI,Cancelled,
O10024,18-01-2026,19:04,Bengaluru,D1054,Bike,4.9,17,66.44,Card,Completed,4.2
O10025,08-03-2026,06:42,Pune,D1097,Prime,9.1,12,290.82,Cash,Completed,3.6
O10026,03-01-2026,14:39,Delhi,D1009,Mini,16.8,40,260.16,UPI,Cancelled,
O10027,05-04-2026,09:10,Kolkata,D1086,Sedan,21.6,86,600.87,Card,Completed,4.1
O10028,19-06-2026,03:56,Mumbai,D1027,Auto,4.8,9,119.97,Card,Completed,3.6
O10029,22-02-2026,21:40,Hyderabad,D1001,Sedan,15.4,11,414.46,Card,Completed,3.6
